 185.104.182.64 is reachable, taken time: 924.44 ms
 79.139.60.97 is reachable, taken time: 95.96 ms
 85.239.69.14 is reachable, taken time: 621.16 ms
 141.101.90.96 is reachable, taken time: 132.60 ms
 195.72.120.33 is reachable, taken time: 138.53 ms
 185.18.139.126 is reachable, taken time: 132.20 ms
 104.17.157.36 is reachable, taken time: 23.64 ms
 23.227.38.74 is reachable, taken time: 22.30 ms

 ----   2024-10-10 08:54:27 ---- 
 160.75.25.62 is reachable, taken time: 26.12 ms
 185.45.67.130 is reachable, taken time: 52.84 ms
 185.104.182.64 is reachable, taken time: 948.47 ms
 79.139.60.97 is reachable, taken time: 98.02 ms
 85.239.69.14 is reachable, taken time: 406.15 ms
 141.101.90.96 is reachable, taken time: 128.80 ms
 195.72.120.33 is reachable, taken time: 133.14 ms
 185.18.139.126 is reachable, taken time: 138.13 ms
 104.17.157.36 is reachable, taken time: 29.99 ms
 23.227.38.74 is reachable, taken time: 25.33 ms

 ----   2024-10-10 08:56:06 ---- 
 160.75.25.62 is reachable, taken time: 21.25 ms
 185.45.67.130 is reachable, taken time: 53.35 ms
 185.104.182.64 is reachable, taken time: 840.80 ms
 79.139.60.97 is reachable, taken time: 96.24 ms
 85.239.69.14 is reachable, taken time: 416.56 ms
 141.101.90.96 is reachable, taken time: 128.61 ms
 195.72.120.33 is reachable, taken time: 135.45 ms
 185.18.139.126 is reachable, taken time: 145.04 ms
 104.17.157.36 is reachable, taken time: 32.71 ms
 23.227.38.74 is reachable, taken time: 25.80 ms

 ----   2024-10-10 08:58:09 ---- 
 160.75.25.62 is reachable, taken time: 28.90 ms
 185.45.67.130 is reachable, taken time: 54.86 ms
 185.104.182.64 is reachable, taken time: 882.87 ms
 79.139.60.97 is reachable, taken time: 94.89 ms
 85.239.69.14 is reachable, taken time: 481.40 ms
 141.101.90.96 is reachable, taken time: 125.74 ms
 195.72.120.33 is reachable, taken time: 134.22 ms
 185.18.139.126 is reachable, taken time: 145.91 ms
 104.17.157.36 is reachable, taken time: 27.22 ms
 23.227.38.74 is reachable, taken time: 23.29 ms

 ----   2024-10-10 09:00:04 ---- 
 160.75.25.62 is reachable, taken time: 42.84 ms
 185.45.67.130 is reachable, taken time: 88.82 ms
 185.104.182.64 is reachable, taken time: 921.92 ms
 79.139.60.97 is reachable, taken time: 102.01 ms
 85.239.69.14 is reachable, taken time: 401.22 ms
 141.101.90.96 is reachable, taken time: 130.16 ms
 195.72.120.33 is reachable, taken time: 134.49 ms
 185.18.139.126 is reachable, taken time: 140.53 ms
 104.17.157.36 is reachable, taken time: 32.53 ms
 23.227.38.74 is reachable, taken time: 25.84 ms

 ----   2024-10-10 09:02:09 ---- 
 160.75.25.62 is reachable, taken time: 27.53 ms
 185.45.67.130 is reachable, taken time: 52.87 ms
 185.104.182.64 is reachable, taken time: 928.55 ms
 79.139.60.97 is reachable, taken time: 93.93 ms
 85.239.69.14 is reachable, taken time: 398.05 ms
 141.101.90.96 is reachable, taken time: 132.49 ms
 195.72.120.33 is reachable, taken time: 131.44 ms
 185.18.139.126 is reachable, taken time: 134.41 ms
 104.17.157.36 is reachable, taken time: 39.28 ms
 23.227.38.74 is reachable, taken time: 32.51 ms

 ----   2024-10-10 09:04:11 ---- 
 160.75.25.62 is reachable, taken time: 30.38 ms
 185.45.67.130 is reachable, taken time: 52.78 ms
